category;governorate;hour;dayOfWeek;month;maxParticipants;success_level
CINEMA;Jendouba;21;0;7;46;MEDIUM
SPORT;Ariana;17;6;12;80;HIGH
OTHER;Nabeul;14;6;2;41;MEDIUM
CINEMA;Monastir;17;5;10;58;HIGH
SPORT;Ariana;10;5;3;109;MEDIUM
OTHER;Manouba;11;3;4;50;LOW
OTHER;Tataouine;21;2;8;34;MEDIUM
SPORT;Tozeur;16;2;12;37;MEDIUM
KARAOKE;Ariana;21;5;8;45;HIGH
KARAOKE;Sfax;21;1;10;21;HIGH
OTHER;Kairouan;14;5;8;45;MEDIUM
OTHER;Sfax;11;0;9;29;MEDIUM
CEREMONY;Kef;17;2;9;123;MEDIUM
CEREMONY;Tunis;17;5;9;127;HIGH
CINEMA;Tunis;21;6;6;45;HIGH
KARAOKE;Kebili;18;5;9;34;HIGH
CINEMA;Mahdia;20;6;9;34;HIGH
OTHER;Kef;14;3;11;51;LOW
SPORT;Manouba;17;5;2;25;HIGH
CINEMA;Zaghouan;17;1;2;77;MEDIUM
CINEMA;Manouba;17;4;11;64;MEDIUM
CEREMONY;Mahdia;15;5;10;95;MEDIUM
SPORT;Kairouan;9;4;12;29;MEDIUM
SPORT;Bizerte;18;3;2;79;MEDIUM
SPORT;Kairouan;17;5;7;67;HIGH
SPORT;Medenine;10;4;1;113;LOW
SPORT;Kef;8;1;9;32;MEDIUM
SPORT;Kebili;9;4;7;44;MEDIUM
CINEMA;Mahdia;18;4;11;37;MEDIUM
OTHER;Kebili;17;3;12;23;MEDIUM
OTHER;Kairouan;19;3;12;95;LOW
CEREMONY;Manouba;10;6;3;170;MEDIUM
CEREMONY;Mahdia;11;5;3;166;MEDIUM
OTHER;Sousse;14;2;9;51;MEDIUM
KARAOKE;Sidi Bouzid;21;6;12;30;HIGH
OTHER;Beja;18;4;4;58;LOW
OTHER;Kebili;13;2;8;67;LOW
CEREMONY;Tunis;16;0;5;182;MEDIUM
SPORT;Mahdia;9;2;1;58;MEDIUM
CINEMA;Bizerte;19;0;12;50;MEDIUM
OTHER;Mahdia;17;4;10;29;MEDIUM
SPORT;Ariana;16;2;3;37;HIGH
KARAOKE;Kairouan;22;1;4;26;MEDIUM
KARAOKE;Ben Arous;22;3;10;23;MEDIUM
SPORT;Kebili;10;6;8;42;MEDIUM
CEREMONY;Tozeur;16;4;2;182;LOW
KARAOKE;Ariana;22;3;2;59;MEDIUM
SPORT;Siliana;10;6;7;73;MEDIUM
SPORT;Beja;18;5;10;21;HIGH
CEREMONY;Ariana;11;4;1;111;MEDIUM
OTHER;Gabes;11;2;9;99;LOW
CINEMA;Nabeul;17;5;12;65;HIGH
CEREMONY;Medenine;15;4;2;86;MEDIUM
CEREMONY;Kef;17;3;3;63;MEDIUM
KARAOKE;Ben Arous;21;4;12;13;HIGH
OTHER;Kasserine;13;0;7;74;LOW
CEREMONY;Tozeur;10;6;3;153;LOW
OTHER;Bizerte;16;3;11;83;LOW
CINEMA;Sfax;21;5;9;46;HIGH
CINEMA;Ben Arous;19;6;7;56;HIGH
OTHER;Ben Arous;10;5;7;64;MEDIUM
KARAOKE;Kairouan;19;2;6;48;MEDIUM
SPORT;Kef;9;2;10;76;MEDIUM
OTHER;Nabeul;16;0;4;35;MEDIUM
KARAOKE;Nabeul;18;0;12;13;HIGH
CINEMA;Medenine;18;6;5;16;HIGH
KARAOKE;Tozeur;18;2;8;40;MEDIUM
SPORT;Siliana;9;5;9;47;MEDIUM
CINEMA;Sfax;21;6;5;76;HIGH
OTHER;Kebili;11;5;12;95;LOW
SPORT;Kasserine;17;5;9;25;HIGH
KARAOKE;Zaghouan;18;2;4;60;MEDIUM
OTHER;Jendouba;9;3;11;11;LOW
SPORT;Kasserine;18;2;11;104;MEDIUM
KARAOKE;Manouba;18;2;11;34;MEDIUM
CINEMA;Kasserine;21;5;2;55;MEDIUM
CEREMONY;Medenine;15;0;3;80;MEDIUM
OTHER;Sousse;17;5;1;15;HIGH
CINEMA;Mahdia;19;2;8;65;MEDIUM
CINEMA;Tunis;19;5;6;60;HIGH
KARAOKE;Beja;22;2;1;50;LOW
KARAOKE;Kasserine;18;4;5;24;MEDIUM
CINEMA;Siliana;20;5;3;26;HIGH
CEREMONY;Mahdia;16;4;11;88;MEDIUM
CEREMONY;Beja;15;1;7;109;MEDIUM
OTHER;Siliana;16;4;3;36;LOW
CINEMA;Gabes;21;5;4;32;HIGH
KARAOKE;Tozeur;22;1;7;59;LOW
CINEMA;Tataouine;21;1;6;23;MEDIUM
OTHER;Sfax;20;0;3;50;MEDIUM
CINEMA;Kebili;17;6;6;67;HIGH
CEREMONY;Kef;14;5;11;100;MEDIUM
CINEMA;Bizerte;17;1;3;18;MEDIUM
OTHER;Medenine;13;4;10;88;LOW
CINEMA;Medenine;18;1;11;18;MEDIUM
KARAOKE;Ben Arous;21;1;9;48;MEDIUM
CEREMONY;Tozeur;16;2;3;129;LOW
CEREMONY;Monastir;10;1;4;87;MEDIUM
SPORT;Sidi Bouzid;19;0;5;72;MEDIUM
CINEMA;Kebili;18;6;4;23;HIGH
CINEMA;Sousse;21;3;12;56;MEDIUM
CEREMONY;Beja;14;3;1;185;LOW
CEREMONY;Kebili;11;3;10;176;LOW
OTHER;Sfax;17;5;12;14;HIGH
OTHER;Manouba;16;3;1;41;LOW
OTHER;Sfax;15;5;1;81;MEDIUM
CEREMONY;Mahdia;17;5;1;78;HIGH
KARAOKE;Sousse;21;2;5;39;HIGH
CINEMA;Sidi Bouzid;19;4;1;33;MEDIUM
CEREMONY;Tataouine;14;0;12;158;LOW
SPORT;Zaghouan;19;4;12;89;MEDIUM
CINEMA;Kasserine;20;2;8;18;MEDIUM
CINEMA;Sousse;21;5;4;73;HIGH
SPORT;Jendouba;10;5;11;111;MEDIUM
CINEMA;Tozeur;17;0;2;72;MEDIUM
KARAOKE;Ben Arous;22;5;7;56;HIGH
OTHER;Medenine;11;3;9;58;LOW
SPORT;Zaghouan;10;4;11;39;MEDIUM
CINEMA;Nabeul;18;6;12;21;HIGH
CEREMONY;Kef;11;5;8;103;MEDIUM
CINEMA;Manouba;18;1;1;47;MEDIUM
SPORT;Sousse;16;6;8;89;HIGH
SPORT;Medenine;16;1;4;95;MEDIUM
CEREMONY;Sousse;14;3;2;183;MEDIUM
OTHER;Tunis;12;4;5;89;LOW
OTHER;Bizerte;9;1;3;17;LOW
KARAOKE;Ariana;19;6;1;52;HIGH
OTHER;Medenine;13;2;2;16;LOW
SPORT;Sidi Bouzid;9;1;11;56;MEDIUM
OTHER;Gafsa;20;5;10;83;MEDIUM
OTHER;Zaghouan;16;5;10;56;MEDIUM
SPORT;Ben Arous;19;2;6;67;HIGH
CEREMONY;Ben Arous;17;3;9;46;HIGH
KARAOKE;Monastir;19;0;12;27;HIGH
KARAOKE;Mahdia;21;4;4;54;MEDIUM
CINEMA;Medenine;17;0;10;26;MEDIUM
CEREMONY;Kebili;16;4;12;103;LOW
CEREMONY;Medenine;17;2;5;164;MEDIUM
OTHER;Medenine;14;1;10;82;LOW
CEREMONY;Mahdia;16;5;8;156;MEDIUM
CINEMA;Medenine;18;5;5;39;HIGH
SPORT;Manouba;8;3;11;35;MEDIUM
CINEMA;Medenine;20;3;1;57;MEDIUM
KARAOKE;Sfax;19;0;11;22;HIGH
KARAOKE;Jendouba;18;2;5;42;MEDIUM
OTHER;Siliana;21;0;2;97;LOW
KARAOKE;Siliana;21;5;10;49;MEDIUM
SPORT;Zaghouan;9;2;6;106;LOW
CEREMONY;Monastir;17;0;11;64;HIGH
CEREMONY;Nabeul;16;3;9;115;MEDIUM
CEREMONY;Sidi Bouzid;16;0;9;106;LOW
OTHER;Kebili;19;2;9;78;LOW
SPORT;Bizerte;17;5;6;65;HIGH
SPORT;Nabeul;10;6;1;63;HIGH
CEREMONY;Tataouine;15;6;3;176;MEDIUM
OTHER;Kasserine;11;4;2;49;LOW
KARAOKE;Tozeur;18;2;7;15;MEDIUM
CEREMONY;Beja;11;3;5;85;LOW
OTHER;Kef;11;0;6;14;LOW
CINEMA;Ben Arous;20;4;1;76;MEDIUM
OTHER;Nabeul;12;2;8;77;MEDIUM
KARAOKE;Siliana;19;6;2;43;MEDIUM
CINEMA;Bizerte;17;3;7;29;HIGH
SPORT;Kef;8;5;10;31;HIGH
KARAOKE;Sousse;18;0;9;59;MEDIUM
KARAOKE;Tunis;22;6;5;50;MEDIUM
CINEMA;Siliana;18;1;5;50;MEDIUM
OTHER;Siliana;21;3;11;25;MEDIUM
KARAOKE;Nabeul;19;2;2;10;HIGH
OTHER;Sfax;17;0;4;79;MEDIUM
KARAOKE;Sfax;20;2;3;55;MEDIUM
KARAOKE;Gabes;19;1;2;29;MEDIUM
OTHER;Siliana;17;3;1;26;MEDIUM
SPORT;Monastir;18;0;2;69;HIGH
SPORT;Ben Arous;16;3;3;110;MEDIUM
OTHER;Gabes;19;6;12;99;MEDIUM
CEREMONY;Medenine;11;2;6;80;MEDIUM
OTHER;Ben Arous;21;6;8;82;HIGH
CINEMA;Ben Arous;20;0;8;54;HIGH
CEREMONY;Monastir;10;1;3;187;LOW
KARAOKE;Kairouan;21;1;12;52;MEDIUM
KARAOKE;Siliana;21;3;1;14;MEDIUM
CEREMONY;Manouba;11;3;8;73;MEDIUM
KARAOKE;Kairouan;22;4;3;42;LOW
SPORT;Kasserine;19;5;2;61;HIGH
OTHER;Tataouine;10;6;5;78;LOW
CEREMONY;Kasserine;15;3;4;188;LOW
CINEMA;Sfax;18;3;7;23;HIGH
KARAOKE;Bizerte;22;3;7;46;MEDIUM
KARAOKE;Sfax;19;1;11;52;MEDIUM
SPORT;Kebili;18;4;8;34;HIGH
OTHER;Medenine;16;2;9;22;MEDIUM
CEREMONY;Zaghouan;11;3;2;183;LOW
SPORT;Gafsa;19;4;7;61;MEDIUM
CEREMONY;Tataouine;16;0;2;85;LOW
CINEMA;Gabes;17;6;3;34;HIGH
CEREMONY;Sfax;11;3;10;177;LOW
CEREMONY;Bizerte;10;5;6;106;MEDIUM
OTHER;Gafsa;13;3;12;54;LOW
SPORT;Gabes;8;4;9;71;MEDIUM
CINEMA;Kef;17;2;9;21;MEDIUM
SPORT;Tozeur;17;6;6;34;HIGH
KARAOKE;Tunis;19;3;12;47;MEDIUM
CEREMONY;Tataouine;11;5;7;133;MEDIUM
CEREMONY;Sidi Bouzid;15;1;11;74;MEDIUM
CEREMONY;Nabeul;10;4;7;122;MEDIUM
CEREMONY;Nabeul;11;6;11;62;HIGH
CINEMA;Tunis;17;5;1;33;HIGH
CEREMONY;Gafsa;14;1;2;65;MEDIUM
CEREMONY;Sousse;17;5;10;138;HIGH
OTHER;Zaghouan;16;4;7;80;LOW
CEREMONY;Kasserine;11;1;3;138;LOW
OTHER;Tunis;18;3;12;40;MEDIUM
OTHER;Jendouba;15;4;10;56;LOW
SPORT;Ariana;17;3;12;67;HIGH
SPORT;Gabes;16;5;2;38;HIGH
OTHER;Jendouba;16;4;2;76;LOW
OTHER;Ben Arous;12;3;11;94;LOW
SPORT;Gafsa;18;4;10;59;MEDIUM
OTHER;Ariana;14;4;1;70;MEDIUM
CEREMONY;Mahdia;14;4;12;114;MEDIUM
CEREMONY;Kairouan;17;2;5;72;MEDIUM
SPORT;Tozeur;17;5;5;113;MEDIUM
OTHER;Jendouba;9;5;8;84;LOW
CINEMA;Gabes;17;5;5;18;HIGH
KARAOKE;Monastir;18;1;9;14;HIGH
KARAOKE;Jendouba;19;4;5;27;MEDIUM
KARAOKE;Tunis;18;4;3;47;MEDIUM
CINEMA;Gafsa;20;2;3;48;MEDIUM
CINEMA;Monastir;18;6;9;19;HIGH
KARAOKE;Ben Arous;19;4;3;41;MEDIUM
CEREMONY;Kasserine;10;5;8;193;MEDIUM
CINEMA;Bizerte;21;5;6;21;HIGH
KARAOKE;Manouba;18;1;8;35;HIGH
CEREMONY;Kef;14;5;9;89;MEDIUM
CEREMONY;Gafsa;16;3;8;97;MEDIUM
CINEMA;Mahdia;20;0;5;72;MEDIUM
CEREMONY;Gafsa;11;4;11;40;MEDIUM
SPORT;Sfax;18;2;7;98;HIGH
KARAOKE;Siliana;20;2;2;26;MEDIUM
OTHER;Kasserine;16;6;11;40;MEDIUM
OTHER;Bizerte;17;2;11;98;LOW
CINEMA;Siliana;21;0;11;16;MEDIUM
SPORT;Tunis;16;0;9;33;HIGH
CEREMONY;Kairouan;10;5;5;94;MEDIUM
CINEMA;Ariana;17;4;2;22;HIGH
OTHER;Gafsa;12;4;11;25;LOW
SPORT;Ben Arous;19;4;3;68;HIGH
OTHER;Zaghouan;10;5;3;42;LOW
KARAOKE;Sousse;18;5;8;27;HIGH
CEREMONY;Tozeur;16;6;6;95;MEDIUM
CINEMA;Ben Arous;19;6;1;63;HIGH
CEREMONY;Siliana;9;2;5;75;LOW
CEREMONY;Ben Arous;14;1;10;130;MEDIUM
CINEMA;Tataouine;20;0;3;70;MEDIUM
CINEMA;Medenine;17;3;12;48;MEDIUM
SPORT;Ariana;8;0;10;113;MEDIUM
KARAOKE;Sousse;18;3;3;51;MEDIUM
SPORT;Ariana;18;3;5;39;HIGH
KARAOKE;Kasserine;22;0;9;55;LOW
CEREMONY;Monastir;14;3;12;47;MEDIUM
OTHER;Beja;9;3;12;71;LOW
SPORT;Gabes;17;2;6;107;MEDIUM
KARAOKE;Kasserine;18;5;11;15;HIGH
KARAOKE;Sfax;20;0;8;58;HIGH
KARAOKE;Tataouine;19;1;9;12;MEDIUM
CEREMONY;Gafsa;10;2;12;129;LOW
SPORT;Tataouine;18;2;8;30;HIGH
CEREMONY;Kebili;10;1;1;79;LOW
SPORT;Kebili;17;1;8;69;MEDIUM
SPORT;Sfax;18;2;8;88;HIGH
CEREMONY;Tunis;9;2;1;116;MEDIUM
SPORT;Kasserine;8;1;11;105;LOW
OTHER;Sousse;19;6;9;29;HIGH
OTHER;Beja;10;0;12;28;LOW
CEREMONY;Tataouine;9;3;10;41;LOW
CINEMA;Tozeur;18;0;3;21;MEDIUM
KARAOKE;Manouba;21;4;3;47;MEDIUM
SPORT;Manouba;8;3;10;98;MEDIUM
CINEMA;Ben Arous;18;3;6;66;HIGH
KARAOKE;Manouba;22;4;3;30;MEDIUM
CINEMA;Ariana;21;1;6;23;HIGH
SPORT;Jendouba;9;6;7;41;MEDIUM
KARAOKE;Sfax;19;3;4;47;MEDIUM
SPORT;Nabeul;8;6;11;98;HIGH
CEREMONY;Zaghouan;9;3;2;31;MEDIUM
SPORT;Zaghouan;8;5;11;95;MEDIUM
KARAOKE;Sidi Bouzid;21;5;3;23;HIGH
CINEMA;Tataouine;19;4;8;67;MEDIUM
CINEMA;Zaghouan;21;5;1;38;HIGH
CEREMONY;Medenine;9;5;5;119;MEDIUM
CEREMONY;Tunis;15;1;4;60;MEDIUM
OTHER;Manouba;18;2;9;74;MEDIUM
CINEMA;Sousse;18;2;1;39;HIGH
SPORT;Nabeul;18;6;8;83;HIGH
CINEMA;Zaghouan;17;0;11;61;MEDIUM
KARAOKE;Bizerte;21;2;6;49;MEDIUM
CEREMONY;Ariana;9;5;1;167;MEDIUM
CINEMA;Zaghouan;17;3;9;29;MEDIUM
SPORT;Beja;18;3;10;94;MEDIUM
KARAOKE;Sidi Bouzid;19;5;11;30;HIGH
CINEMA;Manouba;19;1;2;45;MEDIUM
CEREMONY;Bizerte;14;1;2;150;LOW
OTHER;Monastir;9;3;3;37;MEDIUM
OTHER;Sousse;11;3;6;27;MEDIUM
CEREMONY;Kebili;10;5;6;99;MEDIUM
CINEMA;Siliana;18;0;12;22;MEDIUM
KARAOKE;Nabeul;18;6;8;39;HIGH
CEREMONY;Zaghouan;17;2;4;105;MEDIUM
OTHER;Zaghouan;21;6;11;88;MEDIUM
CINEMA;Gabes;21;6;4;26;HIGH
CEREMONY;Mahdia;14;6;4;181;MEDIUM
CEREMONY;Sousse;11;0;12;139;MEDIUM
CINEMA;Beja;19;3;10;43;MEDIUM
OTHER;Nabeul;18;0;7;15;HIGH
SPORT;Monastir;18;6;9;24;HIGH
CEREMONY;Mahdia;14;3;12;55;MEDIUM
CEREMONY;Monastir;10;0;9;33;MEDIUM
CEREMONY;Bizerte;10;2;5;91;LOW
SPORT;Tunis;16;5;5;40;HIGH
CEREMONY;Gabes;16;4;1;146;MEDIUM
CEREMONY;Nabeul;17;5;7;77;HIGH
KARAOKE;Tataouine;21;5;11;10;HIGH
SPORT;Kasserine;18;2;9;24;HIGH
KARAOKE;Sidi Bouzid;20;5;10;44;MEDIUM
OTHER;Bizerte;21;5;2;89;MEDIUM
KARAOKE;Kebili;18;4;11;33;MEDIUM
SPORT;Manouba;16;2;8;99;MEDIUM
SPORT;Kairouan;10;1;11;91;MEDIUM
SPORT;Sfax;18;6;4;37;HIGH
KARAOKE;Beja;22;0;11;40;LOW
OTHER;Tozeur;12;6;12;38;MEDIUM
KARAOKE;Kairouan;20;4;11;37;MEDIUM
KARAOKE;Ariana;18;2;6;38;HIGH
CEREMONY;Mahdia;15;6;2;150;MEDIUM
OTHER;Gafsa;17;2;8;89;LOW
KARAOKE;Gafsa;18;1;8;15;MEDIUM
SPORT;Kasserine;9;2;2;33;MEDIUM
CINEMA;Jendouba;17;5;3;78;MEDIUM
CINEMA;Bizerte;21;5;1;52;HIGH
CEREMONY;Gafsa;15;1;8;118;MEDIUM
CEREMONY;Sousse;16;5;1;104;HIGH
CINEMA;Ben Arous;17;6;4;57;HIGH
CEREMONY;Gabes;11;5;11;113;MEDIUM
CEREMONY;Gabes;16;5;9;170;MEDIUM
CEREMONY;Sousse;11;4;3;108;MEDIUM
CINEMA;Jendouba;18;3;6;51;MEDIUM
SPORT;Nabeul;10;2;8;41;MEDIUM
OTHER;Zaghouan;20;4;5;33;MEDIUM
CINEMA;Tozeur;18;1;4;29;MEDIUM
SPORT;Siliana;17;1;8;53;MEDIUM
KARAOKE;Zaghouan;19;4;12;12;MEDIUM
KARAOKE;Kairouan;19;2;8;44;MEDIUM
CINEMA;Sfax;19;0;1;66;MEDIUM
CEREMONY;Nabeul;14;2;3;31;HIGH
OTHER;Mahdia;14;5;12;47;MEDIUM
CEREMONY;Kef;17;4;11;67;MEDIUM
OTHER;Kebili;16;2;12;24;LOW
CEREMONY;Ariana;10;5;9;59;HIGH
KARAOKE;Tunis;21;4;4;38;HIGH
KARAOKE;Ben Arous;20;0;10;51;MEDIUM
CINEMA;Gabes;21;1;5;40;MEDIUM
SPORT;Ben Arous;17;6;8;106;HIGH
SPORT;Mahdia;16;1;8;60;MEDIUM
OTHER;Medenine;17;0;11;56;MEDIUM
CEREMONY;Nabeul;16;6;7;124;HIGH
CEREMONY;Kairouan;9;2;6;119;MEDIUM
KARAOKE;Sousse;22;0;4;56;MEDIUM
CEREMONY;Kebili;14;6;8;103;MEDIUM
CINEMA;Kebili;20;5;7;32;HIGH
OTHER;Medenine;10;1;4;48;LOW
CEREMONY;Mahdia;11;0;10;126;LOW
SPORT;Tunis;16;5;5;73;HIGH
CINEMA;Sfax;20;5;10;32;HIGH
CINEMA;Zaghouan;20;2;9;77;MEDIUM
SPORT;Kef;19;4;5;83;MEDIUM
OTHER;Kebili;16;1;1;10;LOW
CINEMA;Jendouba;19;5;11;75;MEDIUM
SPORT;Tataouine;18;2;7;42;MEDIUM
CEREMONY;Tozeur;16;1;1;60;MEDIUM
KARAOKE;Monastir;18;4;12;33;HIGH
OTHER;Monastir;18;3;5;90;MEDIUM
CEREMONY;Tozeur;17;0;6;161;MEDIUM
OTHER;Tunis;13;1;10;17;MEDIUM
CINEMA;Siliana;20;5;3;60;MEDIUM
CINEMA;Ariana;19;2;7;60;HIGH
SPORT;Kef;10;4;11;29;MEDIUM
OTHER;Bizerte;21;5;3;22;HIGH
OTHER;Zaghouan;17;2;6;97;LOW
KARAOKE;Jendouba;20;0;9;47;MEDIUM
KARAOKE;Nabeul;18;1;9;28;HIGH
KARAOKE;Monastir;21;2;3;16;HIGH
CINEMA;Nabeul;21;1;4;29;HIGH
CEREMONY;Sousse;9;0;3;34;MEDIUM
CEREMONY;Kairouan;11;5;6;65;HIGH
CEREMONY;Medenine;15;6;6;74;HIGH
KARAOKE;Tunis;18;1;3;54;MEDIUM
CINEMA;Tozeur;18;2;3;41;MEDIUM
CINEMA;Ben Arous;20;5;2;24;HIGH
SPORT;Monastir;19;3;1;45;HIGH
SPORT;Ariana;19;5;9;95;HIGH
SPORT;Monastir;8;2;1;28;MEDIUM
KARAOKE;Gafsa;18;6;2;60;MEDIUM
SPORT;Medenine;9;4;4;43;MEDIUM
KARAOKE;Tunis;18;1;12;27;HIGH
OTHER;Kairouan;14;1;9;88;LOW
CINEMA;Mahdia;21;0;2;16;MEDIUM
OTHER;Bizerte;20;1;5;31;MEDIUM
OTHER;Tunis;20;0;4;74;MEDIUM
CEREMONY;Kairouan;16;4;3;142;MEDIUM
SPORT;Zaghouan;19;2;7;74;MEDIUM
CINEMA;Mahdia;18;3;2;55;MEDIUM
SPORT;Sousse;8;4;3;83;MEDIUM
KARAOKE;Tozeur;20;4;12;12;MEDIUM
SPORT;Siliana;16;0;7;56;MEDIUM
CEREMONY;Medenine;16;2;11;143;MEDIUM
CINEMA;Sfax;20;2;7;39;HIGH
SPORT;Monastir;18;2;3;21;HIGH
CEREMONY;Gafsa;9;3;8;163;LOW
SPORT;Manouba;9;3;7;108;MEDIUM
OTHER;Manouba;20;1;2;56;MEDIUM
CINEMA;Siliana;18;4;7;30;MEDIUM
CINEMA;Sidi Bouzid;20;2;12;49;MEDIUM
CEREMONY;Kairouan;14;5;10;133;MEDIUM
CEREMONY;Mahdia;11;1;8;57;MEDIUM
SPORT;Jendouba;16;3;4;100;LOW
CINEMA;Tunis;17;5;1;23;HIGH
CEREMONY;Gafsa;9;1;7;184;LOW
KARAOKE;Nabeul;20;4;10;16;HIGH
SPORT;Gafsa;19;4;8;79;MEDIUM
CINEMA;Kef;20;3;9;48;MEDIUM
OTHER;Siliana;21;6;9;79;MEDIUM
SPORT;Ariana;16;0;7;77;HIGH
KARAOKE;Kasserine;21;3;1;12;MEDIUM
CINEMA;Sfax;19;5;3;77;HIGH
CEREMONY;Nabeul;11;5;7;154;MEDIUM
SPORT;Gabes;18;3;11;90;MEDIUM
OTHER;Gabes;16;3;9;30;MEDIUM
OTHER;Ariana;15;2;8;85;MEDIUM
CEREMONY;Medenine;16;2;5;112;MEDIUM
SPORT;Tunis;17;0;3;66;HIGH
KARAOKE;Kebili;22;0;11;31;LOW
CEREMONY;Manouba;14;2;6;135;MEDIUM
KARAOKE;Ariana;19;1;4;51;MEDIUM
KARAOKE;Gabes;18;5;2;29;HIGH
SPORT;Siliana;9;0;9;61;MEDIUM
SPORT;Sousse;18;6;7;92;HIGH
OTHER;Sidi Bouzid;13;0;12;70;LOW
OTHER;Tunis;14;3;10;59;MEDIUM
KARAOKE;Gabes;18;6;8;16;HIGH
CINEMA;Siliana;20;4;11;58;MEDIUM
CINEMA;Medenine;19;2;7;40;HIGH
CEREMONY;Tataouine;17;6;2;167;MEDIUM
CINEMA;Kef;19;0;5;66;MEDIUM
CINEMA;Medenine;17;5;10;27;HIGH
OTHER;Siliana;13;0;10;77;LOW
CEREMONY;Sidi Bouzid;10;2;2;196;LOW
KARAOKE;Mahdia;20;3;11;44;MEDIUM
KARAOKE;Bizerte;21;3;5;49;MEDIUM
OTHER;Sousse;19;6;9;33;HIGH
SPORT;Tataouine;18;4;3;93;MEDIUM
CEREMONY;Bizerte;16;6;12;149;MEDIUM
KARAOKE;Tataouine;22;6;10;59;MEDIUM
CEREMONY;Gabes;16;5;1;163;MEDIUM
CINEMA;Kairouan;20;1;4;34;MEDIUM
KARAOKE;Sidi Bouzid;21;2;2;50;MEDIUM
CINEMA;Sidi Bouzid;19;6;5;35;HIGH
KARAOKE;Gafsa;22;1;7;25;MEDIUM
SPORT;Nabeul;9;0;4;59;MEDIUM
CEREMONY;Monastir;15;3;7;195;MEDIUM
SPORT;Bizerte;9;2;3;23;MEDIUM
KARAOKE;Jendouba;22;1;11;12;LOW
CEREMONY;Tunis;9;6;2;110;MEDIUM
OTHER;Kef;10;3;6;95;LOW
SPORT;Kasserine;19;5;3;50;HIGH
SPORT;Gabes;18;4;2;86;MEDIUM
OTHER;Mahdia;13;3;2;40;LOW
OTHER;Manouba;21;6;6;52;HIGH
OTHER;Kebili;15;6;12;40;MEDIUM
CEREMONY;Bizerte;10;0;3;84;LOW
KARAOKE;Sousse;21;2;10;13;HIGH
CEREMONY;Sfax;11;5;2;111;MEDIUM
OTHER;Sidi Bouzid;16;5;4;45;MEDIUM
CINEMA;Kairouan;20;5;6;54;HIGH
SPORT;Tataouine;17;0;12;104;MEDIUM
SPORT;Tozeur;19;5;4;52;HIGH
OTHER;Kasserine;13;5;12;56;LOW
SPORT;Sfax;19;1;8;69;HIGH
SPORT;Kasserine;10;2;2;116;LOW
CINEMA;Kef;18;6;3;71;MEDIUM
KARAOKE;Tataouine;21;6;1;27;HIGH
SPORT;Monastir;16;5;7;62;HIGH
CEREMONY;Manouba;17;1;12;96;MEDIUM
OTHER;Ben Arous;14;3;10;80;MEDIUM
KARAOKE;Sousse;18;6;1;51;HIGH
CINEMA;Tataouine;20;6;11;32;HIGH
SPORT;Kasserine;9;5;5;60;MEDIUM
OTHER;Ben Arous;10;1;4;76;LOW
CINEMA;Medenine;20;6;6;72;HIGH
CEREMONY;Kebili;10;2;3;181;LOW
KARAOKE;Kef;19;0;7;33;MEDIUM
CINEMA;Kasserine;20;6;10;43;MEDIUM
SPORT;Tunis;17;5;10;100;HIGH
CINEMA;Ben Arous;20;1;5;36;HIGH
SPORT;Kasserine;17;3;10;53;MEDIUM
CINEMA;Ben Arous;19;1;10;30;HIGH
SPORT;Tozeur;17;3;8;106;MEDIUM
CEREMONY;Manouba;10;5;4;78;MEDIUM
KARAOKE;Kef;21;3;3;37;MEDIUM
CINEMA;Medenine;18;6;5;39;HIGH
CEREMONY;Zaghouan;14;6;3;37;HIGH
KARAOKE;Jendouba;19;4;8;25;MEDIUM
KARAOKE;Gabes;21;0;1;40;MEDIUM
CINEMA;Siliana;20;5;4;64;MEDIUM
CEREMONY;Kebili;15;2;2;54;MEDIUM
OTHER;Ariana;9;2;4;70;LOW
KARAOKE;Medenine;22;5;12;12;MEDIUM
SPORT;Jendouba;17;4;7;58;MEDIUM
CEREMONY;Gafsa;11;1;9;40;MEDIUM
OTHER;Zaghouan;13;1;9;73;LOW
KARAOKE;Sousse;19;0;6;55;HIGH
OTHER;Sidi Bouzid;11;2;2;50;LOW
SPORT;Nabeul;16;6;5;115;HIGH
KARAOKE;Sidi Bouzid;20;2;10;58;MEDIUM
KARAOKE;Mahdia;20;3;3;30;MEDIUM
CEREMONY;Nabeul;15;6;11;192;MEDIUM
CEREMONY;Ariana;10;1;1;88;MEDIUM
CINEMA;Ariana;20;2;3;74;MEDIUM
CEREMONY;Manouba;14;0;8;121;MEDIUM
OTHER;Monastir;16;3;2;28;MEDIUM
SPORT;Kairouan;8;1;5;43;MEDIUM
CINEMA;Kebili;21;6;5;42;MEDIUM
OTHER;Tunis;17;6;10;33;HIGH
CEREMONY;Ben Arous;10;6;8;54;HIGH
KARAOKE;Tunis;20;5;11;17;HIGH
CEREMONY;Kairouan;15;0;6;69;MEDIUM
SPORT;Ben Arous;16;6;12;104;HIGH
CEREMONY;Sousse;16;2;10;198;MEDIUM
SPORT;Siliana;8;5;10;77;MEDIUM
KARAOKE;Kebili;22;1;4;13;LOW
KARAOKE;Siliana;18;5;2;45;MEDIUM
OTHER;Kasserine;10;3;5;32;LOW
CINEMA;Kasserine;17;0;4;35;MEDIUM
CEREMONY;Kasserine;11;5;11;69;MEDIUM
SPORT;Kef;16;6;7;114;MEDIUM
